Country name,Pred 2023,Pred 2024,Pred 2025,Pred 2026,Pred 2027,Pred 2028,True 2023,Squared Error
Jordan,0.46276635,0.4649039,0.46561933,0.46585888,0.4659391,0.465966,0.4468685069753635,0.0002527413910763931
Croatia,0.69202805,0.7180073,0.7306695,0.7368883,0.73995376,0.7414677,0.6941228851291185,4.388352425270778e-06
Peru,0.5985636,0.56462723,0.55155486,0.5465723,0.544681,0.5439642,0.6908578213119619,0.008518221163445586
Nepal,0.6322885,0.6367564,0.63876015,0.63966,0.6400645,0.64024633,0.6096764618581182,0.0005113049729686096
Saudi Arabia,0.64728796,0.60691977,0.59251136,0.5874245,0.58563566,0.5850073,0.8417928168596023,0.03783213746661232
Zambia,0.38926485,0.3956561,0.3972302,0.3976184,0.39771423,0.39773786,0.3569308400118729,0.0010454883188675216
Japan,0.7289069,0.7300239,0.7306091,0.73091584,0.7310768,0.7311612,0.6869991095280499,0.0017562653742105182
Bosnia and Herzegovina,0.6972346,0.7050343,0.7088872,0.71079546,0.7117416,0.7122112,0.7016918967052538,1.9867752620367102e-05
France,0.7391579,0.7143649,0.70280766,0.69746184,0.694998,0.69386435,0.7830216681507867,0.0019240288303532139
Guinea,0.5328413,0.51097274,0.503867,0.50157106,0.5008307,0.50059205,0.5262689225289403,4.3196471694304246e-05
Ireland,0.7653346,0.73278224,0.7166557,0.7087633,0.70492387,0.7030617,0.8216087859899079,0.003166783314329694
Ghana,0.5031841,0.52732813,0.53567064,0.53857315,0.53958535,0.5399386,0.4477589789254972,0.003071941842853342
Slovenia,0.7817322,0.7688354,0.76247215,0.75934553,0.75781214,0.75706077,0.8110715345799941,0.0008607964611055933
Italy,0.6408949,0.5999707,0.58342135,0.5768247,0.57421046,0.57317686,0.7367171267438409,0.009181901086876559
Hungary,0.73014265,0.7571647,0.77188516,0.7799745,0.7844411,0.78691393,0.6951617690709408,0.0012236622396491197
Kyrgyzstan,0.6683536,0.6756149,0.67868185,0.6799797,0.68052936,0.6807622,0.6869991095280499,0.0003476543844792504
Benin,0.45118293,0.45517576,0.4562116,0.4564806,0.45655042,0.4565686,0.46586524191154643,0.0002155702342755108
Colombia,0.65469027,0.6411328,0.6349972,0.6322341,0.63099253,0.63043517,0.6861086375779163,0.0009871140942541718
Israel,0.5049378,0.39144126,0.36572674,0.36008137,0.35885075,0.35858294,0.8165627782724845,0.09711010988965105
